Vocabulary	Type	Phonetic	Definition	Example	Synonym	Antonym	Vietnamese
crucial	adj	/ˈkruː.ʃəl/	extremely important or necessary	Your responsibility has been crucial to the project's success.	vital, important	unimportant	thiết yếu, cốt lõi
agreement	noun	/əˈɡrēm(ə)nt/	harmony or accordance in opinion or feeling a position or result of agreeing.	the two officers nodded in agreement		disagreement	sự đồng thuận
throw	verb	/THrō/	propel (something) with force through the air by a movement of the arm and hand.	I threw a brick through the window		catch, hold	ném, liệng
intelligent	adj	/ɪnˈtelɪdʒənt/	good at learning, understanding and thinking in a logical way about things; showing this ability	He is a intelligent child	smart	Unintelligent	thông minh
undergraduate	noun	/ˌʌndəˈɡrædʒuət/	a university or college student who is studying for their first degree	She teaches physics at undergraduate level.			sinh viên đại học
financial	adj	/faɪˈnænʃl/	connected with money and finance	Ho Chi Minh City will become a financial center of Asia			tài chính
substantial	adj	/səbˈstænʃl/	large in amount, value or importance	He ate a substantial breakfast			đáng kể, lớn
struggle	verb	/ˈstrʌɡl/	to try very hard to do something when it is difficult or when there are a lot of problems	life as a struggling artist			vật lộn, cố gắng
charity	noun	/ˈtʃærəti/	an organization for helping people in need	My parents always supported charities.			tổ chức từ thiện
charismatic	adj	/ˌkærɪzˈmætɪk/	having charisma	the charismatic leader of a religious sect			có sức lôi cuốn
influential	adj	/ˌɪnfluˈenʃl/	having a lot of influence on somebody/something	She is one of the most influential figures in local politics			có tầm ảnh hưởng
contrasting	adj	/kənˈtræstɪŋ/	very different in style, colour or attitude	The book explores contrasting views of the poet's early work.			tương phản
root	noun	/ruːt/	the part of a plant that grows under the ground and takes in water and minerals that it sends to the rest of the plant	Tree roots can cause damage to buildings.			rễ cây, gốc rễ
waste	noun	/weɪst/	materials that are no longer needed and are thrown away	household waste			chất thải, lãng phí
effective	adj	/ɪˈfektɪv/	producing the result that is wanted or intended; producing a successful result	I admire the effective use of colour in her paintings.			hiệu quả
suburb	noun	/ˈsʌbɜːb/	an area where people live that is outside the centre of a city	a suburb of London			vùng ngoại ô
